Project,Station_Name,Station_Number,Latitude,Longitude,Sample_Code,Date,Date_Time,Result_DissNitrateNitrite,Result_DissNitrate,Detection_Condition_DissNitrateNitrite,Detection_Condition_DissNitrate,Reporting_Limit_DissNitrateNitrite,Reporting_Limit_DissNitrate,Units_DissNitrateNitrite,Units_DissNitrate,Method_DissNitrateNitrite,Method_DissNitrate
SWP Routine Monitoring,Lake Oroville Dam,OR001000,39.5384,-121.4822,OC1111B0036,2011-11-16,2011-11-16T15:15:00Z,NA,NA,Not Detected,Not Detected,0.01,2,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OC1111B0037,2011-11-16,2011-11-16T15:49:00Z,NA,NA,Not Detected,Not Detected,0.01,2,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Devil Canyon 2nd Afterbay,KA041323,34.2031,-117.3403,SA1111B0615,2011-11-16,2011-11-16T16:00:00Z,0.35,NA,Detected,Not Detected,0.01,2,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,SA1111B0621,2011-11-16,2011-11-16T17:00:00Z,0.36,2,Detected,Detected,0.01,2,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OC1211B0039,2011-12-07,2011-12-07T16:45:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 29,KA024454,35.232,-119.3299,SJB1211B0923,2011-12-19,2011-12-19T17:18:00Z,0.58,3.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Conservation Outlet,DV000000,37.6183,-121.7494,DA1211B3414,2011-12-19,2011-12-19T21:50:00Z,0.09,0.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,DA1211B3412,2011-12-19,2011-12-19T23:30:00Z,0.56,2.6,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SLA1211B0173,2011-12-20,2011-12-20T16:45:00Z,0.69,3.3,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pacheco Pumping Plant,SL000000,37.0619,-121.1806,SLA1211B0168,2011-12-20,2011-12-20T17:40:00Z,0.54,2.7,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SLA1211B0167,2011-12-20,2011-12-20T17:45:00Z,0.65,3.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SLA1211B0172,2011-12-20,2011-12-20T20:30:00Z,0.64,3.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Devil Canyon 2nd Afterbay,KA041323,34.2031,-117.3403,SA1211B0629,2011-12-21,2011-12-21T16:00:00Z,0.41,2.3,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,DA1211B3411,2011-12-21,2011-12-21T16:55:00Z,0.45,2.6,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,SA1211B0642,2011-12-21,2011-12-21T17:00:00Z,0.71,3.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,DA1211B3413,2011-12-21,2011-12-21T20:05:00Z,0.39,2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SLA0112B0007,2012-01-17,2012-01-17T16:30:00Z,0.83,3.7,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SLA0112B0002,2012-01-17,2012-01-17T17:15:00Z,0.87,3.8,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pacheco Pumping Plant,SL000000,37.0619,-121.1806,SLA0112B0003,2012-01-17,2012-01-17T17:25:00Z,0.52,2.8,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SLA0112B0008,2012-01-17,2012-01-17T17:50:00Z,1.7,7.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,DA0112B3368,2012-01-17,2012-01-17T21:30:00Z,0.78,3.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Devil Canyon 2nd Afterbay,KA041323,34.2031,-117.3403,SA0112B0018,2012-01-18,2012-01-18T16:00:00Z,0.53,2.3,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,SA0112B0010,2012-01-18,2012-01-18T17:00:00Z,0.55,2.9,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,DA0112B3367,2012-01-18,2012-01-18T17:30:00Z,0.7,3.7,Detected,Detected,0.01,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 29,KA024454,35.232,-119.3299,SJC0112B0859,2012-01-18,2012-01-18T17:30:00Z,0.74,3.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,DA0112B3369,2012-01-18,2012-01-18T21:35:00Z,0.41,1.9,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OC0112B0040,2012-01-25,2012-01-25T16:35:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Perris - Outlet,PE002000,33.8397,-117.1763,SA0212B0050,2012-02-13,2012-02-13T16:00:00Z,0.08,0.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Castaic Lake - Outlet,CA002000,34.5152,-118.6101,SA0212B0057,2012-02-13,2012-02-13T17:00:00Z,0.31,1.5,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Conservation Outlet,DV000000,37.6183,-121.7494,DA0212B3393,2012-02-13,2012-02-13T20:30:00Z,0.02,NA,Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,DA0212B3388,2012-02-13,2012-02-13T23:30:00Z,1.1,4.6,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Silverwood Lake - Outlet,SI002000,34.2803,-117.3299,SA0212B0051,2012-02-14,2012-02-14T16:00:00Z,0.4,2.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pyramid Lake - Outlet,PY001000,34.6449,-118.767,SA0212B0058,2012-02-14,2012-02-14T17:00:00Z,0.39,1.9,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SLA0212B0019,2012-02-14,2012-02-14T17:25:00Z,1.7,7.8,Detected,Detected,0.01,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SLA0212B0013,2012-02-14,2012-02-14T17:45:00Z,0.88,4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pacheco Pumping Plant,SL000000,37.0619,-121.1806,SLA0212B0014,2012-02-14,2012-02-14T18:20:00Z,0.38,2.3,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SLA0212B0018,2012-02-14,2012-02-14T20:15:00Z,0.63,2.9,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Devil Canyon 2nd Afterbay,KA041323,34.2031,-117.3403,SA0212B0053,2012-02-15,2012-02-15T16:00:00Z,0.55,2.5,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OA0212B0064,2012-02-15,2012-02-15T16:25:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,DA0212B3387,2012-02-15,2012-02-15T16:30:00Z,1.1,5,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,SA0212B0059,2012-02-15,2012-02-15T17:00:00Z,0.7,3.8,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,DA0212B3390,2012-02-15,2012-02-15T22:20:00Z,0.08,0.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 29,KA024454,35.232,-119.3299,SJB0212B0780,2012-02-16,2012-02-16T17:25:00Z,0.83,4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Conservation Outlet,DV000000,37.6183,-121.7494,DA0312B3447,2012-03-19,2012-03-19T23:00:00Z,0.05,0.3,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,DA0312B3444,2012-03-19,2012-03-19T23:30:00Z,1.5,7.1,Detected,Detected,0.01,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SLA0312B0034,2012-03-20,2012-03-20T16:30:00Z,1.5,8,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pacheco Pumping Plant,SL000000,37.0619,-121.1806,SLA0312B0029,2012-03-20,2012-03-20T17:50:00Z,0.45,2.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SLA0312B0028,2012-03-20,2012-03-20T17:50:00Z,0.65,3.4,Detected,Detected,0.01,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SLA0312B0033,2012-03-20,2012-03-20T21:00:00Z,1,5.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OC0312B0041,2012-03-21,2012-03-21T15:08:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Devil Canyon 2nd Afterbay,KA041323,34.2031,-117.3403,SA0312B0067,2012-03-21,2012-03-21T16:00:00Z,0.48,2.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,SA0312B0073,2012-03-21,2012-03-21T17:00:00Z,0.79,3.8,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,DA0312B3443,2012-03-21,2012-03-21T17:50:00Z,1,4.6,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 29,KA024454,35.232,-119.3299,SJB0312B0876,2012-03-21,2012-03-21T18:00:00Z,1.1,5,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,DA0312B3446,2012-03-21,2012-03-21T21:10:00Z,0.05,0.3,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SLA0412B0046,2012-04-17,2012-04-17T17:35:00Z,0.93,5,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SLA0412B0040,2012-04-17,2012-04-17T18:20:00Z,0.75,3.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pacheco Pumping Plant,SL000000,37.0619,-121.1806,SLA0412B0041,2012-04-17,2012-04-17T18:50:00Z,0.53,2.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 29,KA024454,35.232,-119.3299,SJB0412B0895,2012-04-17,2012-04-17T19:10:00Z,0.92,5.1,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SLA0412B0045,2012-04-17,2012-04-17T21:20:00Z,0.9,3.9,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,DA0412B3463,2012-04-17,2012-04-17T22:45:00Z,0.94,4.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Devil Canyon 2nd Afterbay,KA041323,34.2031,-117.3403,SA0412B0105,2012-04-18,2012-04-18T16:00:00Z,0.61,2.6,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,SA0412B0118,2012-04-18,2012-04-18T17:00:00Z,1.4,6.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,DA0412B3462,2012-04-18,2012-04-18T19:30:00Z,0.82,3.6,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,DA0412B3465,2012-04-18,2012-04-18T22:15:00Z,0.06,0.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Dam,OR001000,39.5384,-121.4822,OH0412B0001,2012-04-25,2012-04-25T15:03:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OH0412B0002,2012-04-25,2012-04-25T16:00:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Perris - Outlet,PE002000,33.8397,-117.1763,SA0512B0130,2012-05-14,2012-05-14T16:00:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Castaic Lake - Outlet,CA002000,34.5152,-118.6101,SA0512B0123,2012-05-14,2012-05-14T17:00:00Z,0.16,0.7,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Silverwood Lake - Outlet,SI002000,34.2803,-117.3299,SA0512B0131,2012-05-15,2012-05-15T16:00:00Z,0.38,2.5,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pyramid Lake - Outlet,PY001000,34.6449,-118.767,SA0512B0124,2012-05-15,2012-05-15T17:00:00Z,0.74,3.5,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SLA0512B0058,2012-05-15,2012-05-15T17:20:00Z,0.87,4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pacheco Pumping Plant,SL000000,37.0619,-121.1806,SLA0512B0052,2012-05-15,2012-05-15T18:25:00Z,0.54,2.3,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 29,KA024454,35.232,-119.3299,SJC0512B0908,2012-05-15,2012-05-15T18:30:00Z,0.53,2.5,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SLA0512B0051,2012-05-15,2012-05-15T18:45:00Z,0.43,2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Check No. 7,KB001638,37.6547,-121.7419,DA0512B3479,2012-05-15,2012-05-15T20:45:00Z,0.41,1.9,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SLA0512B0057,2012-05-15,2012-05-15T21:30:00Z,0.53,2.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,DA0512B3478,2012-05-15,2012-05-15T23:00:00Z,0.46,2.7,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OC0512B0043,2012-05-16,2012-05-16T14:35:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Dam,OR001000,39.5384,-121.4822,OC0512B0042,2012-05-16,2012-05-16T15:30:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Devil Canyon 2nd Afterbay,KA041323,34.2031,-117.3403,SA0512B0133,2012-05-16,2012-05-16T16:00:00Z,0.51,2.7,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,SA0512B0125,2012-05-16,2012-05-16T17:00:00Z,0.38,2.6,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,DA0512B3477,2012-05-16,2012-05-16T17:55:00Z,0.65,3.1,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,DA0512B3480,2012-05-16,2012-05-16T21:15:00Z,0.15,0.7,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Frenchman Lake,FR001000,39.8944,-120.1925,OB0512B0008,2012-05-30,2012-05-30T18:20:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Antelope Lake,AN001000,40.1805,-120.6057,OB0512B0007,2012-05-30,2012-05-30T20:28:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Davis,LD001000,39.8857,-120.4789,OB0512B0009,2012-05-30,2012-05-30T22:13:00Z,0.02,NA,Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 29,KA024454,35.232,-119.3299,SJC0612B0917,2012-06-18,2012-06-18T17:45:00Z,0.51,2.4,Detected,Detected,0.01,0.5,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Check No. 7,KB001638,37.6547,-121.7419,DA0612B3500,2012-06-18,2012-06-18T23:10:00Z,0.29,1.3,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Clifton Court Forebay,KA000000,37.8298,-121.5574,DA0612B3499,2012-06-18,2012-06-18T23:50:00Z,0.46,2.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SLA0612B0081,2012-06-19,2012-06-19T17:00:00Z,0.39,1.7,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SLA0612B0082,2012-06-19,2012-06-19T17:50:00Z,0.75,3.5,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SLA0612B0075,2012-06-19,2012-06-19T18:00:00Z,0.4,1.8,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Pacheco Pumping Plant,SL000000,37.0619,-121.1806,SLA0612B0076,2012-06-19,2012-06-19T18:50:00Z,0.34,1.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Lake Oroville Dam,OR001000,39.5384,-121.4822,OC0612B0044,2012-06-20,2012-06-20T15:15:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Thermalito Afterbay Outlet,TA001000,39.4562,-121.637,OC0612B0045,2012-06-20,2012-06-20T15:25:00Z,NA,NA,Not Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Devil Canyon 2nd Afterbay,KA041323,34.2031,-117.3403,SA0612B0157,2012-06-20,2012-06-20T16:00:00Z,0.55,2.5,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 41,KA030341,34.834,-118.7119,SA0612B0149,2012-06-20,2012-06-20T17:00:00Z,0.52,2.4,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Banks Headworks,KA000331,37.7981,-121.6238,DA0612B3498,2012-06-20,2012-06-20T17:25:00Z,0.04,0.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Barker Slough Pumping Plant,KG000000,38.2759,-121.7965,DA0612B3501,2012-06-20,2012-06-20T21:05:00Z,0.29,1.8,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 29,KA024454,35.232,-119.3299,SJC0712B0923,2012-07-16,2012-07-16T17:05:00Z,0.25,1.2,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Del Valle Check No. 7,KB001638,37.6547,-121.7419,DA0712B3535,2012-07-16,2012-07-16T23:15:00Z,0.02,NA,Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,O'Neill FB Outlet (Check 13),KA007089,37.0742,-121.0151,SLA0712B0103,2012-07-17,2012-07-17T17:30:00Z,0.17,0.8,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Delta Mendota Canal,DMC06716,37.1329,-121.0407,SLA0712B0104,2012-07-17,2012-07-17T18:25:00Z,0.02,NA,Detected,Not Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
SWP Routine Monitoring,Check 21,KA017226,36.0142,-119.9769,SLA0712B0097,2012-07-17,2012-07-17T19:00:00Z,0.22,1,Detected,Detected,0.01,0.1,mg/L as N,mg/L as N,"Std Method 4500-NO3-, F",EPA 300.0
