"sample_code","collection_date","station_number","rpt_limit_field_specific_conductance","rpt_limit_dissolved_nitrate_nitrite","rpt_limit_total_kjeldahl_nitrogen","rpt_limit_dissolved_nitrate","result_field_specific_conductance","result_dissolved_nitrate_nitrite","result_total_kjeldahl_nitrogen","result_dissolved_nitrate","method_field_specific_conductance","method_dissolved_nitrate_nitrite","method_total_kjeldahl_nitrogen","method_dissolved_nitrate","nitrate_as_N","nitrate_RL_as_N","total_nitrogen","tn_vs_no3","difference"
"SLA0610B0461",2010-06-15,"KA017226",NA,0.01,0.1,0.1,NA,0.54,0.4,2.5,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.581395348837209,0.0232558139534884,0.94,"greater",0.358604651162791
"DA0610B2754",2010-06-16,"KA000331",NA,0.01,0.1,0.1,NA,0.22,0.3,1.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.302325581395349,0.0232558139534884,0.52,"greater",0.217674418604651
"DA0710B2799",2010-07-19,"KA000000",NA,0.01,0.1,0.1,NA,0.27,0.5,1.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.302325581395349,0.0232558139534884,0.77,"greater",0.467674418604651
"SLA0710B0488",2010-07-20,"DMC06716",NA,0.01,0.1,0.1,NA,0.25,0.4,1.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.302325581395349,0.0232558139534884,0.65,"greater",0.347674418604651
"SLA0710B0487",2010-07-20,"KA007089",NA,0.01,0.1,0.1,NA,0.6,0.4,2.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.674418604651163,0.0232558139534884,1,"greater",0.325581395348837
"SLA0710B0483",2010-07-20,"SL000000",NA,0.01,0.1,0.1,NA,0.77,0.5,3.7,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.86046511627907,0.0232558139534884,1.27,"greater",0.40953488372093
"SLA0710B0481",2010-07-20,"KA017226",NA,0.01,0.1,0.1,NA,0.48,0.7,2.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.558139534883721,0.0232558139534884,1.18,"greater",0.621860465116279
"DA0710B2798",2010-07-21,"KA000331",NA,0.01,0.1,0.1,NA,0.12,0.2,0.6,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.13953488372093,0.0232558139534884,0.32,"greater",0.18046511627907
"SLA0810B0499",2010-08-17,"DMC06716",NA,0.01,0.1,0.1,NA,0.14,0.2,0.7,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.162790697674419,0.0232558139534884,0.34,"greater",0.177209302325581
"SA0810B0177",2010-08-17,"SI002000",NA,0.01,0.1,0.1,NA,0.23,0.4,1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.232558139534884,0.0232558139534884,0.63,"greater",0.397441860465116
"SLA0810B0498",2010-08-17,"KA007089",NA,0.01,0.1,0.1,NA,0.18,0.2,0.7,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.162790697674419,0.0232558139534884,0.38,"greater",0.217209302325581
"SLA0810B0494",2010-08-17,"SL000000",NA,0.01,0.1,0.1,NA,0.73,0.4,3.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.767441860465116,0.0232558139534884,1.13,"greater",0.362558139534884
"DA0810B2841",2010-08-17,"KA000000",NA,0.01,0.1,0.1,NA,0.1,0.2,0.6,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.13953488372093,0.0232558139534884,0.3,"greater",0.16046511627907
"SLA0810B0493",2010-08-17,"KA017226",NA,0.01,0.1,0.1,NA,0.14,0.2,0.6,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.13953488372093,0.0232558139534884,0.34,"greater",0.20046511627907
"DA0910B2893",2010-09-13,"KA000000",NA,0.01,0.1,0.1,NA,0.14,0.2,0.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.186046511627907,0.0232558139534884,0.34,"greater",0.153953488372093
"SLA0910B0533",2010-09-14,"KA017226",NA,0.01,0.1,0.1,NA,0.15,0.3,0.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.186046511627907,0.0232558139534884,0.45,"greater",0.263953488372093
"SLA0910B0538",2010-09-14,"KA007089",NA,0.01,0.1,0.1,NA,0.23,0.3,1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.232558139534884,0.0232558139534884,0.53,"greater",0.297441860465116
"SLA0910B0539",2010-09-14,"DMC06716",NA,0.01,0.1,0.1,NA,0.2,0.3,1.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.255813953488372,0.0232558139534884,0.5,"greater",0.244186046511628
"SLA0910B0534",2010-09-14,"SL000000",NA,0.01,0.1,0.1,NA,0.63,0.4,3.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.72093023255814,0.0232558139534884,1.03,"greater",0.30906976744186
"DA0910B2892",2010-09-15,"KA000331",NA,0.01,0.1,0.1,NA,0.1,0.2,0.5,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.116279069767442,0.0232558139534884,0.3,"greater",0.183720930232558
"DA1010B2928",2010-10-18,"KA000000",NA,0.01,0.1,0.1,NA,0.39,0.3,1.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.441860465116279,0.0232558139534884,0.69,"greater",0.248139534883721
"SLA1010B0566",2010-10-19,"KA017226",NA,0.01,0.1,0.1,NA,0.38,0.3,1.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.418604651162791,0.0232558139534884,0.68,"greater",0.261395348837209
"SLA1010B0572",2010-10-19,"DMC06716",NA,0.01,0.1,0.1,NA,0.75,0.3,3.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.790697674418605,0.0232558139534884,1.05,"greater",0.259302325581395
"SLA1010B0571",2010-10-19,"KA007089",NA,0.01,0.1,0.1,NA,0.31,0.3,1.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.418604651162791,0.0232558139534884,0.61,"greater",0.191395348837209
"SLA1010B0567",2010-10-19,"SL000000",NA,0.01,0.1,0.1,NA,0.62,0.4,2.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.651162790697674,0.0232558139534884,1.02,"greater",0.368837209302326
"DA1010B2927",2010-10-20,"KA000331",NA,0.01,0.1,0.1,NA,0.26,0.3,1.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.302325581395349,0.0232558139534884,0.56,"greater",0.257674418604651
"DA1110B2988",2010-11-15,"KA000000",NA,0.01,0.1,0.1,NA,0.4,0.2,1.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.441860465116279,0.0232558139534884,0.6,"greater",0.158139534883721
"SLA1110B0603",2010-11-16,"DMC06716",NA,0.01,0.1,0.1,NA,1.5,0.3,6.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",1.58139534883721,0.0232558139534884,1.8,"greater",0.218604651162791
"SA1110B0278",2010-11-16,"SI002000",NA,0.01,0.1,0.1,NA,0.43,0.4,2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.465116279069767,0.0232558139534884,0.83,"greater",0.364883720930233
"SLA1110B0602",2010-11-16,"KA007089",NA,0.01,0.1,0.1,NA,0.73,0.3,3.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.790697674418605,0.0232558139534884,1.03,"greater",0.239302325581395
"SLA1110B0597",2010-11-16,"SL000000",NA,0.01,0.1,0.1,NA,0.63,0.3,2.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.651162790697674,0.0232558139534884,0.93,"greater",0.278837209302326
"SLA1110B0596",2010-11-16,"KA017226",NA,0.01,0.1,0.1,NA,0.64,0.2,2.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.674418604651163,0.0232558139534884,0.84,"greater",0.165581395348837
"DA1110B2987",2010-11-17,"KA000331",NA,0.01,0.1,0.1,NA,0.39,0.3,1.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.418604651162791,0.0232558139534884,0.69,"greater",0.271395348837209
"DA1210B3018",2010-12-14,"KA000000",NA,0.01,0.1,0.1,NA,0.73,0.3,3.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.744186046511628,0.0232558139534884,1.03,"greater",0.285813953488372
"SLA1210B0614",2010-12-14,"DMC06716",NA,0.01,0.1,0.1,NA,0.72,0.3,4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.930232558139535,0.0232558139534884,1.02,"greater",0.0897674418604651
"SLA1210B0613",2010-12-14,"KA007089",NA,0.01,0.1,0.1,NA,0.67,0.3,3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.697674418604651,0.0232558139534884,0.97,"greater",0.272325581395349
"SLA1210B0609",2010-12-14,"SL000000",NA,0.01,0.1,0.1,NA,0.64,0.3,2.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.674418604651163,0.0232558139534884,0.94,"greater",0.265581395348837
"SLA1210B0608",2010-12-14,"KA017226",NA,0.01,0.1,0.1,NA,0.6,0.4,2.7,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.627906976744186,0.0232558139534884,1,"greater",0.372093023255814
"DA1210B3017",2010-12-15,"KA000331",NA,0.01,0.1,0.1,NA,0.63,0.3,3.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.744186046511628,0.0232558139534884,0.93,"greater",0.185813953488372
"SLA0111B0003",2011-01-18,"KA017226",NA,0.01,0.1,0.1,NA,0.65,0.6,2.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.674418604651163,0.0232558139534884,1.25,"greater",0.575581395348837
"DA0111B3025",2011-01-18,"KA000000",NA,0.01,0.1,0.1,NA,0.57,0.5,2.7,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.627906976744186,0.0232558139534884,1.07,"greater",0.442093023255814
"SLA0111B0004",2011-01-18,"SL000000",NA,0.01,0.1,0.1,NA,0.71,0.4,3.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.72093023255814,0.0232558139534884,1.11,"greater",0.38906976744186
"SLA0111B0009",2011-01-19,"DMC06716",NA,0.01,0.1,0.1,NA,0.67,0.5,3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.697674418604651,0.0232558139534884,1.17,"greater",0.472325581395349
"DA0111B3024",2011-01-19,"KA000331",NA,0.01,0.1,0.1,NA,0.6,0.6,3.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.744186046511628,0.0232558139534884,1.2,"greater",0.455813953488372
"SLA0111B0008",2011-01-19,"KA007089",NA,0.01,0.1,0.1,NA,0.69,0.6,3.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.72093023255814,0.0232558139534884,1.29,"greater",0.56906976744186
"SA0211B0122",2011-02-14,"PE002000",NA,0.01,0.1,0.1,NA,0.07,0.5,0.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.0697674418604651,0.0232558139534884,0.57,"greater",0.500232558139535
"DA0211B3040",2011-02-15,"KA000000",NA,0.01,0.1,0.1,NA,0.47,0.4,2.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.534883720930233,0.0232558139534884,0.87,"greater",0.335116279069767
"SLA0211B0014",2011-02-15,"KA017226",NA,0.01,0.1,0.1,NA,0.58,0.4,2.6,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.604651162790698,0.0232558139534884,0.98,"greater",0.375348837209302
"SLA0211B0015",2011-02-15,"SL000000",NA,0.01,0.1,0.1,NA,0.7,0.4,3.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.744186046511628,0.0232558139534884,1.1,"greater",0.355813953488372
"SLA0211B0020",2011-02-16,"DMC06716",NA,0.01,0.1,0.1,NA,0.44,0.4,2.5,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.581395348837209,0.0232558139534884,0.84,"greater",0.258604651162791
"SA0211B0123",2011-02-16,"SI002000",NA,0.01,0.1,0.1,NA,0.64,0.5,2.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.674418604651163,0.0232558139534884,1.14,"greater",0.465581395348837
"SLA0211B0019",2011-02-16,"KA007089",NA,0.01,0.1,0.1,NA,0.55,0.5,2.5,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.581395348837209,0.0232558139534884,1.05,"greater",0.468604651162791
"DA0211B3039",2011-02-16,"KA000331",NA,0.01,0.1,0.1,NA,0.49,0.5,2.5,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.581395348837209,0.0232558139534884,0.99,"greater",0.408604651162791
"DA0311B3065",2011-03-14,"KA000000",NA,0.01,0.1,0.1,NA,0.67,0.6,2.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.674418604651163,0.0232558139534884,1.27,"greater",0.595581395348837
"SLA0311B0025",2011-03-15,"KA017226",NA,0.01,0.1,0.1,NA,0.67,0.5,2.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.674418604651163,0.0232558139534884,1.17,"greater",0.495581395348837
"SLA0311B0026",2011-03-15,"SL000000",NA,0.01,0.1,0.1,NA,0.68,0.3,3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.697674418604651,0.0232558139534884,0.98,"greater",0.282325581395349
"SLA0311B0031",2011-03-16,"DMC06716",NA,0.01,0.1,0.1,NA,0.56,0.3,3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.697674418604651,0.0232558139534884,0.86,"greater",0.162325581395349
"DA0311B3064",2011-03-16,"KA000331",NA,0.01,0.1,0.1,NA,0.6,0.4,2.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.651162790697674,0.0232558139534884,1,"greater",0.348837209302326
"SLA0311B0030",2011-03-16,"KA007089",NA,0.01,0.1,0.1,NA,0.65,0.3,2.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.651162790697674,0.0232558139534884,0.95,"greater",0.298837209302326
"DA0411B3096",2011-04-18,"KA000000",NA,0.01,0.1,0.1,NA,0.07,0.3,0.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.0930232558139535,0.0232558139534884,0.37,"greater",0.276976744186047
"SLA0411B0046",2011-04-19,"KA017226",NA,0.01,0.1,0.1,NA,0.07,0.4,0.5,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.116279069767442,0.0232558139534884,0.47,"greater",0.353720930232558
"SLA0411B0047",2011-04-19,"SL000000",NA,0.01,0.1,0.1,NA,0.64,0.4,3.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.72093023255814,0.0232558139534884,1.04,"greater",0.31906976744186
"SLA0411B0052",2011-04-20,"DMC06716",NA,0.01,0.1,0.1,NA,0.09,0.3,0.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.0930232558139535,0.0232558139534884,0.39,"greater",0.296976744186047
"SLA0411B0051",2011-04-20,"KA007089",NA,0.01,0.1,0.1,NA,0.05,0.3,0.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.0465116279069768,0.0232558139534884,0.35,"greater",0.303488372093023
"DA0411B3095",2011-04-20,"KA000331",NA,0.01,0.1,0.1,NA,0.07,0.2,0.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.0930232558139535,0.0232558139534884,0.27,"greater",0.176976744186047
"DA0511B3120",2011-05-16,"KA000000",NA,0.01,0.1,0.1,NA,0.33,0.3,1.7,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.395348837209302,0.0232558139534884,0.63,"greater",0.234651162790698
"SLA0511B0064",2011-05-17,"KA017226",NA,0.01,0.1,0.1,NA,0.38,0.3,1.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.418604651162791,0.0232558139534884,0.68,"greater",0.261395348837209
"SA0511B0317",2011-05-17,"SI002000",NA,0.01,0.1,0.1,NA,0.16,0.3,0.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.209302325581395,0.0232558139534884,0.46,"greater",0.250697674418605
"SLA0511B0071",2011-05-17,"DMC06716",NA,0.01,0.1,0.1,NA,0.29,0.3,1.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.325581395348837,0.0232558139534884,0.59,"greater",0.264418604651163
"SLA0511B0070",2011-05-17,"KA007089",NA,0.01,0.1,0.1,NA,0.44,0.3,2.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.488372093023256,0.0232558139534884,0.74,"greater",0.251627906976744
"SLA0511B0065",2011-05-17,"SL000000",NA,0.01,0.1,0.1,NA,0.7,0.3,3.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.744186046511628,0.0232558139534884,1,"greater",0.255813953488372
"DA0511B3119",2011-05-18,"KA000331",NA,0.01,0.1,0.1,NA,0.24,0.3,1.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.325581395348837,0.0232558139534884,0.54,"greater",0.214418604651163
"CK0611B0521",2011-06-07,"KA000331",NA,0.01,0.1,0.1,NA,0.36,0.4,1.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.441860465116279,0.0232558139534884,0.76,"greater",0.318139534883721
"DA0611B3178",2011-06-13,"KA000000",NA,0.01,0.1,0.1,NA,0.41,0.3,2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.465116279069767,0.0232558139534884,0.71,"greater",0.244883720930233
"SLA0611B0076",2011-06-14,"KA017226",NA,0.01,0.1,0.1,NA,0.41,0.4,2.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.558139534883721,0.0232558139534884,0.81,"greater",0.251860465116279
"SLA0611B0083",2011-06-14,"DMC06716",NA,0.01,0.1,0.1,NA,0.45,0.3,2.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.511627906976744,0.0232558139534884,0.75,"greater",0.238372093023256
"SLA0611B0082",2011-06-14,"KA007089",NA,0.01,0.1,0.1,NA,0.46,0.4,2.1,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.488372093023256,0.0232558139534884,0.86,"greater",0.371627906976744
"SLA0611B0077",2011-06-14,"SL000000",NA,0.01,0.1,0.1,NA,0.66,0.4,3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.697674418604651,0.0232558139534884,1.06,"greater",0.362325581395349
"DA0611B3177",2011-06-15,"KA000331",NA,0.01,0.1,0.1,NA,0.34,0.3,1.6,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.372093023255814,0.0232558139534884,0.64,"greater",0.267906976744186
"CK0711B0684",2011-07-06,"KA000331",NA,0.01,0.1,0.1,NA,0.27,0.4,1.4,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.325581395348837,0.0232558139534884,0.67,"greater",0.344418604651163
"DA0711B3201",2011-07-18,"KA000000",NA,0.01,0.1,0.1,NA,0.33,0.3,1.7,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.395348837209302,0.0232558139534884,0.63,"greater",0.234651162790698
"SLA0711B0095",2011-07-19,"DMC06716",NA,0.01,0.1,0.1,NA,1.3,0.4,1.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.418604651162791,0.0232558139534884,1.7,"greater",1.28139534883721
"SLA0711B0088",2011-07-19,"KA017226",NA,0.01,0.1,0.1,NA,0.38,0.3,1.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.418604651162791,0.0232558139534884,0.68,"greater",0.261395348837209
"SLA0711B0090",2011-07-19,"SL000000",NA,0.01,0.1,0.1,NA,0.56,0.3,2.9,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.674418604651163,0.0232558139534884,0.86,"greater",0.185581395348837
"DA0711B3200",2011-07-19,"KA000331",NA,0.01,0.1,0.1,NA,0.23,0.4,1.3,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.302325581395349,0.0232558139534884,0.63,"greater",0.327674418604651
"SLA0711B0094",2011-07-19,"KA007089",NA,0.01,0.1,0.1,NA,0.35,0.3,1.6,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.372093023255814,0.0232558139534884,0.65,"greater",0.277906976744186
"CK0811B0774",2011-08-03,"KA000331",NA,0.01,0.1,0.1,NA,0.17,0.2,0.8,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.186046511627907,0.0232558139534884,0.37,"greater",0.183953488372093
"DA0811B3254",2011-08-15,"KA000000",NA,0.01,0.1,0.1,NA,0.27,0.3,1.2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.27906976744186,0.0232558139534884,0.57,"greater",0.29093023255814
"SLA0811B0129",2011-08-16,"DMC06716",NA,0.01,0.1,0.1,NA,0.53,0.3,2,NA,"Std Method 4500-NO3-F (DWR Modified) [1]*","EPA 351.2 (DWR Modified) [1]*","EPA 300.0 28d Hold [1]*",0.465116279069767,0.0232558139534884,0.83,"greater",0.364883720930233
