"long_station_name","short_station_name","station_number","sample_code","collection_date","analyte","result","rpt_limit","units","method","sample_type","description","notes"
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","SA0713B0181",2013-07-17,"Dissolved Nitrate","0.3",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","SA0713B0181",2013-07-17,"Dissolved Nitrate + Nitrite","0.05",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","SA0713B0173",2013-07-17,"Dissolved Nitrate","2.1",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","SA0713B0173",2013-07-17,"Dissolved Nitrate + Nitrite","0.4",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0713B0226",2013-07-24,"Dissolved Nitrate","0.3",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0813B0287",2013-08-07,"Dissolved Nitrate","0.1",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","SA0813B0209",2013-08-19,"Dissolved Nitrate","1.5",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","SA0813B0209",2013-08-19,"Dissolved Nitrate + Nitrite","0.32",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","SA0813B0210",2013-08-20,"Dissolved Nitrate","1.1",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","SA0813B0210",2013-08-20,"Dissolved Nitrate + Nitrite","0.21",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SLA0813B0158",2013-08-20,"Dissolved Nitrate","0.6",0.3,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SLA0813B0158",2013-08-20,"Dissolved Nitrate + Nitrite","0.12",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","SA0813B0205",2013-08-21,"Dissolved Nitrate","0.6",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","SA0813B0205",2013-08-21,"Dissolved Nitrate + Nitrite","0.15",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","SA0813B0211",2013-08-21,"Dissolved Nitrate","0.7",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","SA0813B0211",2013-08-21,"Dissolved Nitrate + Nitrite","0.08",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0813B0307",2013-08-21,"Dissolved Nitrate","0.5",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0913B0079",2013-09-06,"Dissolved Nitrate","0.3",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","SA0913B0223",2013-09-16,"Dissolved Nitrate + Nitrite","0.38",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","SA0913B0224",2013-09-17,"Dissolved Nitrate + Nitrite","0.13",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL0913B0002",2013-09-17,"Dissolved Nitrate","0.4",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL0913B0002",2013-09-17,"Dissolved Nitrate + Nitrite","0.1",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","SA0913B0233",2013-09-18,"Dissolved Nitrate","0.2",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","SA0913B0233",2013-09-18,"Dissolved Nitrate + Nitrite","0.05",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","SA0913B0225",2013-09-18,"Dissolved Nitrate","0.1",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","SA0913B0225",2013-09-18,"Dissolved Nitrate + Nitrite","0.04",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0913B0126",2013-09-26,"Dissolved Nitrate","0.5",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","SA1013B0244",2013-10-14,"Dissolved Nitrate + Nitrite","0.44",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","SA1013B0245",2013-10-15,"Dissolved Nitrate + Nitrite","0.22",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C1013B0211",2013-10-15,"Dissolved Nitrate","0.5",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL1013B0013",2013-10-15,"Dissolved Nitrate","0.5",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL1013B0013",2013-10-15,"Dissolved Nitrate + Nitrite","0.08",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","SA1013B0254",2013-10-16,"Dissolved Nitrate","0.4",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","SA1013B0254",2013-10-16,"Dissolved Nitrate + Nitrite","0.08",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","SA1013B0246",2013-10-16,"Dissolved Nitrate","1.7",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","SA1013B0246",2013-10-16,"Dissolved Nitrate + Nitrite","0.32",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C1013B0241",2013-10-31,"Dissolved Nitrate","0.6",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C1113B0325",2013-11-13,"Dissolved Nitrate","2.3",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","SA1113B0286",2013-11-18,"Dissolved Nitrate","2.1",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","SA1113B0286",2013-11-18,"Dissolved Nitrate + Nitrite","0.41",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","SA1113B0287",2013-11-19,"Dissolved Nitrate","1.8",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","SA1113B0287",2013-11-19,"Dissolved Nitrate + Nitrite","0.34",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL1113B0025",2013-11-19,"Dissolved Nitrate","2.7",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL1113B0025",2013-11-19,"Dissolved Nitrate + Nitrite","0.58",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","SA1113B0288",2013-11-20,"Dissolved Nitrate","5.2",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","SA1113B0282",2013-11-20,"Dissolved Nitrate","1.3",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","SA1113B0282",2013-11-20,"Dissolved Nitrate + Nitrite","0.3",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","SA1113B0288",2013-11-20,"Dissolved Nitrate + Nitrite","1.03",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C1113B0357",2013-11-26,"Dissolved Nitrate","2.4",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","SA1213B0293",2013-12-09,"Dissolved Nitrate + Nitrite","0.44",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","SA1213B0294",2013-12-10,"Dissolved Nitrate + Nitrite","0.49",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","SA1213B0295",2013-12-11,"Dissolved Nitrate","7.7",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","SA1213B0295",2013-12-11,"Dissolved Nitrate + Nitrite","1.64",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C1213B0452",2013-12-12,"Dissolved Nitrate","3.2",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S1213B0004",2013-12-17,"Dissolved Nitrate","2.1",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S1213B0004",2013-12-17,"Dissolved Nitrate + Nitrite","0.52",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL1213B0041",2013-12-17,"Dissolved Nitrate","3.6",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL1213B0041",2013-12-17,"Dissolved Nitrate + Nitrite","0.78",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C1213B0511",2013-12-26,"Dissolved Nitrate","0.7",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","S0114B0015",2014-01-13,"Dissolved Nitrate + Nitrite","0.42",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S0114B0004",2014-01-14,"Dissolved Nitrate","2.7",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S0114B0004",2014-01-14,"Dissolved Nitrate + Nitrite","0.6",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","S0114B0016",2014-01-14,"Dissolved Nitrate + Nitrite","0.7",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL0114B0001",2014-01-14,"Dissolved Nitrate","2.1",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL0114B0001",2014-01-14,"Dissolved Nitrate + Nitrite","0.51",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","S0114B0017",2014-01-15,"Dissolved Nitrate","6.7",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","S0114B0017",2014-01-15,"Dissolved Nitrate + Nitrite","1.4",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0114B0070",2014-01-15,"Dissolved Nitrate","2.6",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0114B0118",2014-01-30,"Dissolved Nitrate","2",0.5,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0214B0163",2014-02-12,"Dissolved Nitrate","2.3",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","S0214B0059",2014-02-18,"Dissolved Nitrate","2",0.5,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","S0214B0059",2014-02-18,"Dissolved Nitrate + Nitrite","0.38",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL0214B0013",2014-02-18,"Dissolved Nitrate","4.7",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL0214B0013",2014-02-18,"Dissolved Nitrate + Nitrite","0.98",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","S0214B0061",2014-02-19,"Dissolved Nitrate","4",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","S0214B0061",2014-02-19,"Dissolved Nitrate + Nitrite","0.88",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S0214B0039",2014-02-20,"Dissolved Nitrate","2.9",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S0214B0039",2014-02-20,"Dissolved Nitrate + Nitrite","0.48",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","S0214B0063",2014-02-20,"Dissolved Nitrate","8.2",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","S0214B0063",2014-02-20,"Dissolved Nitrate + Nitrite","1.32",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0214B0193",2014-02-26,"Dissolved Nitrate","1.8",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0314B0318",2014-03-06,"Dissolved Nitrate","5.4",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0314B0270",2014-03-13,"Dissolved Nitrate","5.4",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S0314B0070",2014-03-17,"Dissolved Nitrate","2.9",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S0314B0070",2014-03-17,"Dissolved Nitrate + Nitrite","0.64",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","S0314B0074",2014-03-18,"Dissolved Nitrate + Nitrite","0.5",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL0314B0026",2014-03-18,"Dissolved Nitrate","4.7",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL0314B0026",2014-03-18,"Dissolved Nitrate + Nitrite","1",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","S0314B0076",2014-03-19,"Dissolved Nitrate + Nitrite","0.78",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","S0314B0077",2014-03-20,"Dissolved Nitrate","5.5",0.5,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","S0314B0077",2014-03-20,"Dissolved Nitrate + Nitrite","1.14",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0314B0299",2014-03-27,"Dissolved Nitrate","4.1",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0414B0445",2014-04-08,"Dissolved Nitrate","4.2",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","S0414B0094",2014-04-14,"Dissolved Nitrate + Nitrite","0.42",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","S0414B0099",2014-04-14,"Dissolved Nitrate + Nitrite","1.01",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL0414B0037",2014-04-15,"Dissolved Nitrate","3.5",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL0414B0037",2014-04-15,"Dissolved Nitrate + Nitrite","0.75",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","S0414B0101",2014-04-16,"Dissolved Nitrate","4.4",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","S0414B0101",2014-04-16,"Dissolved Nitrate + Nitrite","0.91",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S0414B0090",2014-04-16,"Dissolved Nitrate","2.9",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S0414B0090",2014-04-16,"Dissolved Nitrate + Nitrite","0.64",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0414B0386",2014-04-17,"Dissolved Nitrate","3.1",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0514B0465",2014-05-01,"Dissolved Nitrate","3",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0514B0530",2014-05-14,"Dissolved Nitrate","2.5",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","S0514B0120",2014-05-19,"Dissolved Nitrate","1.1",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","S0514B0120",2014-05-19,"Dissolved Nitrate + Nitrite","0.18",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S0514B0116",2014-05-20,"Dissolved Nitrate","2.7",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S0514B0116",2014-05-20,"Dissolved Nitrate + Nitrite","0.43",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","S0514B0122",2014-05-20,"Dissolved Nitrate","4.3",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","S0514B0122",2014-05-20,"Dissolved Nitrate + Nitrite","0.77",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL0514B0049",2014-05-20,"Dissolved Nitrate","2",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","SL0514B0049",2014-05-20,"Dissolved Nitrate + Nitrite","0.41",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","Gianelli WQ Station 1/4 mile south of Pumping plant",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","S0514B0127",2014-05-21,"Dissolved Nitrate","5.7",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"CALIFORNIA AQUEDUCT AT CHECK 41","Check 41","KA030341","S0514B0127",2014-05-21,"Dissolved Nitrate + Nitrite","0.87",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0514B0582",2014-05-27,"Dissolved Nitrate","2.3",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Gianelli WQ Station near Pumping Plant","Gianelli","ON003050","C0614B0707",2014-06-11,"Dissolved Nitrate","2.3",0.5,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","Canal Grab Sample",""
"Castaic Lake Outlet Tower","Castaic Tower Outlet","CA002000","S0614B0145",2014-06-16,"Dissolved Nitrate + Nitrite","0.09",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"PYRAMID LK A ANGELES Tunnel INtake Outlet","Pyramid TU Outlet","PY001000","S0614B0147",2014-06-17,"Dissolved Nitrate + Nitrite","0.64",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S0614B0141",2014-06-17,"Dissolved Nitrate","2.4",0.1,"mg/L","EPA 300.0 28d Hold [1]*","Normal Sample","",""
"Devil Canyon 2nd Afterbay","Devil Cyn AB2","KA041323","S0614B0141",2014-06-17,"Dissolved Nitrate + Nitrite","0.51",0.01,"mg/L as N","Std Method 4500-NO3-F (DWR Modified) [1]*","Normal Sample","",""
